"Latest: Time (s)","Latest: Potential (V)"
0,45.6568249893
0.05,45.4500071317
0.1,46.6909142776
0.15,46.2772785623
0.2,46.4840964199
0.25,46.0704607046
0.3,46.0704607046
0.35,46.0704607046
0.4,46.0704607046
0.45,46.0704607046
0.5,46.4840964199
0.55,46.4840964199
0.6,45.863642847
0.65,46.4840964199
0.7,46.2772785623
0.75,46.2772785623
0.8,45.6568249893
0.85,46.2772785623
0.9,46.4840964199
0.95,46.0704607046
1,46.4840964199
1.05,46.0704607046
1.1,46.2772785623
1.15,46.4840964199
1.2,45.6568249893
1.25,45.6568249893
1.3,45.4500071317
1.35,44.8295535587
1.4,44.2090999857
1.45,43.3818285551
1.5,41.9341035516
1.55,41.106832121
1.6,40.2795606903
1.65,40.2795606903
1.7,38.6250178291
1.75,38.4181999715
1.8,37.1772928256
1.85,36.350021395
1.9,36.1432035373
1.95,35.5227499643
2,35.109114249
2.05,34.0750249608
2.1,33.2477535302
2.15,32.8341178149
2.2,32.2136642419
2.25,31.5932106689
2.3,30.1454856654
2.35,30.5591213807
2.4,29.9386678077
2.45,29.7318499501
2.5,29.1113963771
2.55,28.0773070889
2.6,27.4568535159
2.65,27.4568535159
2.7,26.0091285123
2.75,25.3886749394
2.8,24.7682213664
2.85,24.9750392241
2.9,24.7682213664
2.95,23.9409499358
3,23.9409499358
3.05,23.3204963629
3.1,21.8727713593
3.15,21.6659535016
3.2,22.2864070746
3.25,21.2523177863
3.3,21.2523177863
3.35,20.838682071
3.4,19.8045927828
3.45,18.9773213522
3.5,18.9773213522
3.55,18.3568677792
3.6,18.3568677792
3.65,18.3568677792
3.7,17.1159606333
3.75,17.7364142062
3.8,17.5295963486
3.85,16.702324918
3.9,16.081871345
3.95,15.8750534874
4,15.6682356297
4.05,15.2545999144
4.1,14.8409641991
4.15,14.4273284838
4.2,13.8068749109
4.25,14.0136927685
4.3,13.1864213379
4.35,13.1864213379
4.4,12.3591499073
4.45,12.3591499073
4.5,12.1523320496
4.55,12.1523320496
4.6,11.325060619
4.65,12.3591499073
4.7,11.7386963343
4.75,11.5318784767
4.8,11.1182427614
4.85,10.9114249037
4.9,10.0841534731
4.95,10.7046070461
5,9.87733561546
5.05,9.67051775781
5.1,9.05006418485
5.15,10.0841534731
5.2,9.67051775781
5.25,8.8432463272
5.3,8.63642846955
5.35,8.22279275424
5.4,8.8432463272
5.45,8.4296106119
5.5,8.22279275424
5.55,7.60233918129
5.6,7.60233918129
5.65,7.18870346598
5.7,6.98188560833
5.75,7.60233918129
5.8,7.39552132363
5.85,6.77506775068
5.9,6.56824989303
5.95,6.36143203537
6,6.56824989303
6.05,5.74097846242
6.1,5.74097846242
6.15,5.32734274711
6.2,6.15461417772
6.25,5.74097846242
6.3,5.32734274711
6.35,4.70688917415
6.4,4.5000713165
6.45,4.91370703181
6.5,4.70688917415
6.55,4.70688917415
6.6,4.91370703181
6.65,4.29325345885
6.7,4.5000713165
6.75,4.70688917415
6.8,4.29325345885
6.85,4.0864356012
6.9,3.25916417059
6.95,3.87961774355
7,3.46598202824
7.05,3.67279988589
7.1,3.46598202824
7.15,3.46598202824
7.2,3.25916417059
7.25,3.67279988589
7.3,3.05234631294
7.35,3.05234631294
7.4,3.05234631294
7.45,2.43189273998
7.5,2.01825702468
7.55,3.05234631294
7.6,3.46598202824
7.65,2.43189273998
7.7,1.81143916702
7.75,1.81143916702
7.8,1.60462130937
7.85,2.84552845528
7.9,2.01825702468
7.95,1.81143916702
8,1.60462130937
8.05,2.43189273998
8.1,1.39780345172
8.15,1.81143916702
8.2,2.01825702468
8.25,1.60462130937
8.3,0.984167736414
8.35,1.19098559407
8.4,1.81143916702
8.45,1.81143916702
8.5,1.39780345172
8.55,1.19098559407
8.6,1.39780345172
8.65,0.777349878762
8.7,1.60462130937
8.75,0.984167736414
8.8,1.60462130937
8.85,1.81143916702
8.9,0.363714163457
8.95,0.363714163457
9,0.777349878762
9.05,1.19098559407
9.1,0.777349878762
9.15,0.984167736414
9.2,0.984167736414
9.25,0.984167736414
9.3,0.156896305805
9.35,1.19098559407
9.4,0.57053202111
9.45,0.57053202111
9.5,-0.0499215518471
9.55,0.57053202111
9.6,-0.0499215518471
9.65,0.156896305805
9.7,0.156896305805
9.75,0.57053202111
9.8,0.984167736414
9.85,0.363714163457
9.9,0.363714163457
9.95,-0.0499215518471
10,0.777349878762
10.05,0.777349878762
10.1,-0.256739409499
10.15,0.984167736414
10.2,0.156896305805
10.25,0.363714163457
10.3,-0.256739409499
10.35,-0.256739409499
10.4,0.156896305805
10.45,-0.0499215518471
10.5,-0.0499215518471
10.55,0.57053202111
10.6,0.156896305805
10.65,0.156896305805
10.7,-0.0499215518471
10.75,0.777349878762
10.8,0.777349878762
10.85,0.57053202111
10.9,-0.0499215518471
10.95,-0.0499215518471
11,0.156896305805
11.05,0.156896305805
11.1,-0.0499215518471
11.15,0.156896305805
11.2,-0.0499215518471
11.25,0.984167736414
11.3,-0.256739409499
11.35,0.156896305805
11.4,-0.0499215518471
11.45,0.156896305805
11.5,0.156896305805
11.55,0.156896305805
11.6,-0.877192982456
11.65,-0.463557267151
11.7,0.156896305805
11.75,0.57053202111
11.8,-0.463557267151
11.85,-0.0499215518471
11.9,0.777349878762
11.95,-0.463557267151
12,0.363714163457
12.05,-0.256739409499
12.1,-0.0499215518471
12.15,0.984167736414
12.2,-0.0499215518471
12.25,0.363714163457
12.3,-0.0499215518471
12.35,0.777349878762
12.4,-0.0499215518471
12.45,0.156896305805
12.5,0.57053202111
12.55,0.156896305805
12.6,-0.670375124804
12.65,-0.463557267151
12.7,-0.0499215518471
12.75,-0.256739409499
12.8,0.57053202111
12.85,0.57053202111
12.9,0.363714163457
12.95,-0.0499215518471
13,0.777349878762
13.05,-0.0499215518471
13.1,-0.0499215518471
13.15,-0.0499215518471
13.2,0.57053202111
13.25,0.57053202111
13.3,0.57053202111
13.35,-0.0499215518471
13.4,-0.0499215518471
13.45,-0.0499215518471
13.5,0.363714163457
13.55,-0.0499215518471
13.6,-0.0499215518471
13.65,0.57053202111
13.7,0.156896305805
13.75,0.363714163457
13.8,-0.0499215518471
13.85,-0.670375124804
13.9,-0.670375124804
13.95,0.156896305805
14,0.363714163457
14.05,-0.0499215518471
14.1,-0.0499215518471
14.15,-0.256739409499
14.2,-0.0499215518471
14.25,-0.0499215518471
14.3,-0.463557267151
14.35,0.156896305805
14.4,-0.0499215518471
14.45,-0.0499215518471
14.5,-0.0499215518471
14.55,-0.0499215518471
14.6,-0.0499215518471
14.65,-0.256739409499
14.7,0.156896305805
14.75,-0.463557267151
14.8,0.777349878762
14.85,0.57053202111
14.9,-0.0499215518471
14.95,-0.256739409499
15,0.363714163457
15.05,-0.463557267151
15.1,0.363714163457
15.15,-0.0499215518471
15.2,0.363714163457
15.25,-0.0499215518471
15.3,-0.0499215518471
15.35,0.57053202111
15.4,-0.670375124804
15.45,-0.0499215518471
15.5,-0.670375124804
15.55,-0.463557267151
15.6,-0.463557267151
15.65,0.363714163457
15.7,0.156896305805
15.75,0.363714163457
15.8,0.156896305805
15.85,-0.0499215518471
15.9,0.363714163457
15.95,-0.0499215518471
16,-0.0499215518471
16.05,0.363714163457
16.1,-0.463557267151
16.15,-0.0499215518471
16.2,0.363714163457
16.25,-0.0499215518471
16.3,-0.256739409499
16.35,0.57053202111
16.4,0.363714163457
16.45,-0.256739409499
16.5,-0.0499215518471
16.55,0.156896305805
16.6,0.156896305805
